dataset,model,repeat,MAPE,MAE,RMSE
batlik/cubus,RandomForest,22,2.1039168257303773,0.12842098765432106,0.16406772166162975
batlik/cubus,LinearRegression,23,4.113102447812826,0.2505904604341007,0.3461073898959371
batlik/cubus,RandomForest,23,2.1138955927739276,0.12752795138888884,0.1603065369261342
batlik/cubus,LinearRegression,24,3.79274360953481,0.23832575826702249,0.32525944809812174
batlik/cubus,RandomForest,24,1.9688365380635175,0.12318172123015866,0.16208251953501318
batlik/cubus,LinearRegression,25,4.024111723729666,0.2534168830479105,0.3407568948553949
batlik/cubus,RandomForest,25,2.162249823673997,0.13673587962962971,0.17796901177237157
batlik/cubus,LinearRegression,26,3.8377421438984975,0.23721444889615073,0.33310318376383363
batlik/cubus,RandomForest,26,1.9607537460823574,0.12045677083333356,0.15694082787745553
batlik/cubus,LinearRegression,27,3.8430037745136696,0.23322127053083086,0.32087946650214233
batlik/cubus,RandomForest,27,2.0926818342481184,0.12493715277777781,0.15783988238788782
batlik/cubus,LinearRegression,28,4.089636460101664,0.2480522871135243,0.33914492692735293
batlik/cubus,RandomForest,28,2.115336454567382,0.125998611111111,0.16201327631212462
batlik/cubus,LinearRegression,29,4.046811478853931,0.2491944025069632,0.3384177312490647
batlik/cubus,RandomForest,29,2.093640791189209,0.12856759259259296,0.16176147811958727
batlik/flame,LinearRegression,0,3.2028454123217496,0.057239304655616184,0.0745486211198811
batlik/flame,RandomForest,0,2.2735278825876044,0.040393402777777775,0.05019796123848053
batlik/flame,LinearRegression,1,3.083184935304615,0.05487533570330463,0.07418557210067565
batlik/flame,RandomForest,1,2.2475059624481473,0.039148611111111044,0.049712915058474506
batlik/flame,LinearRegression,2,3.2436504294449717,0.058572374781710304,0.07821324712819964
batlik/flame,RandomForest,2,2.2010594622290007,0.03909236111111106,0.049806838692648875
batlik/flame,LinearRegression,3,3.265157895023221,0.05882665490970133,0.07778190668664044
batlik/flame,RandomForest,3,2.28911902698994,0.04063784722222214,0.05142350812128623
batlik/flame,LinearRegression,4,3.2696323353560715,0.05920247477190285,0.07942129037110207
batlik/flame,RandomForest,4,2.1620572846759436,0.038919618055555626,0.049693762358681566
batlik/flame,LinearRegression,5,3.312467314435357,0.059559065662511665,0.0790969648093185
batlik/flame,RandomForest,5,2.170977114225396,0.03850364583333338,0.048740357486549805
batlik/flame,LinearRegression,6,3.2761387808920928,0.059667646580130955,0.07966713968135848
batlik/flame,RandomForest,6,2.324786438530587,0.04185295138888883,0.05371667490821108
batlik/flame,LinearRegression,7,3.210036010065423,0.05691158316864948,0.0733450401817518
batlik/flame,RandomForest,7,2.1935128997733444,0.039031770833333285,0.04906135030500075
batlik/flame,LinearRegression,8,3.207911303770649,0.05823667865092154,0.07745433485350593
batlik/flame,RandomForest,8,2.200915920675186,0.03958350694444438,0.05087816380416384
batlik/flame,LinearRegression,9,3.081577476773665,0.05618890481375045,0.07483635277133334
batlik/flame,RandomForest,9,2.09068285186299,0.03750902777777773,0.0487318242470404
batlik/flame,LinearRegression,10,3.2313081765883074,0.05858434551085306,0.07904638069646532
batlik/flame,RandomForest,10,2.223298320138601,0.03970798611111107,0.04977631876427
batlik/flame,LinearRegression,11,3.2455714312830826,0.05877412222985602,0.07730045419033381
batlik/flame,RandomForest,11,2.2311847577627386,0.04033368055555556,0.052440189806525705
batlik/flame,LinearRegression,12,3.1521176402854887,0.05585232498257854,0.07402337269429635
batlik/flame,RandomForest,12,2.24495089538834,0.03923420138888889,0.05029129608397019
batlik/flame,LinearRegression,13,3.279409951909195,0.059450450779192865,0.07870500583132986
batlik/flame,RandomForest,13,2.2162206003726657,0.03921163194444441,0.04978709445534608
batlik/flame,LinearRegression,14,3.129371313393496,0.05664854819868954,0.07438637614219407
batlik/flame,RandomForest,14,2.1292412318617076,0.03817934027777776,0.04849850817436435
batlik/flame,LinearRegression,15,3.13426736718887,0.05636494176043269,0.07680696844396229
batlik/flame,RandomForest,15,2.267870199913387,0.04075972222222213,0.051933498475347124
batlik/flame,LinearRegression,16,3.123923684665271,0.05696818170583795,0.07555157994255167
batlik/flame,RandomForest,16,2.199540517214312,0.039317534722222276,0.05047012472327906
batlik/flame,LinearRegression,17,3.202669478840171,0.057416397015607586,0.0769814510490655
batlik/flame,RandomForest,17,2.172656699488431,0.03846145833333339,0.04993503522633742
batlik/flame,LinearRegression,18,3.358992313582189,0.060875411768930666,0.0805552840646429
batlik/flame,RandomForest,18,2.152866903387368,0.038640798611111124,0.04872844840570834
batlik/flame,LinearRegression,19,3.2512658740472054,0.05989792077023405,0.07785689643865625
batlik/flame,RandomForest,19,2.298258352351836,0.04191180555555549,0.054000366832601704
batlik/flame,LinearRegression,20,3.3213307201919062,0.06077618163327189,0.07959658211190082
batlik/flame,RandomForest,20,2.0696358987496373,0.03741927083333336,0.047569247221813334
batlik/flame,LinearRegression,21,3.0513547502786595,0.055448702245190246,0.07503588458809135
batlik/flame,RandomForest,21,2.137716851055518,0.03802343750000005,0.047666189355127696
batlik/flame,LinearRegression,22,3.081151286595932,0.055714660432289294,0.07475788389917479
batlik/flame,RandomForest,22,2.1809076710342974,0.03902690972222217,0.04984884182455988
batlik/flame,LinearRegression,23,3.335781710394243,0.05921642335293785,0.07883656965921924
batlik/flame,RandomForest,23,2.129270750379991,0.037983680555555496,0.04792619651610161
batlik/flame,LinearRegression,24,3.1042817440707715,0.0572251583156648,0.07564814377684524
batlik/flame,RandomForest,24,2.037230841070796,0.03738663194444439,0.04826628233473818
batlik/flame,LinearRegression,25,3.2569743088730694,0.060107112859467654,0.07976438469683686
batlik/flame,RandomForest,25,2.169027082049017,0.03939201388888885,0.050520928350426035
batlik/flame,LinearRegression,26,3.1970838768351086,0.05770414780270924,0.07756139722265928
batlik/flame,RandomForest,26,2.1439379084852597,0.038556597222222155,0.048831895954386174
batlik/flame,LinearRegression,27,3.1466816081162237,0.056123950246616365,0.07524405131613965
batlik/flame,RandomForest,27,2.1938740285323113,0.03811875,0.047124042135859065
batlik/flame,LinearRegression,28,3.223772886105664,0.05724089852146615,0.0754154531216062
batlik/flame,RandomForest,28,2.1907137925961115,0.038609548611111114,0.0483963140311899
batlik/flame,LinearRegression,29,3.35605738946284,0.06060640144020711,0.08004111342794887
batlik/flame,RandomForest,29,2.186477679373943,0.0392399305555555,0.049898394332327324
batlik/france,LinearRegression,0,3.968837417894923,0.1461112273468783,0.19186882533351107
batlik/france,RandomForest,0,2.433403925872017,0.0837690972222223,0.10678793757307582
batlik/france,LinearRegression,1,3.8314154575088097,0.1375938118040923,0.18676693658466798
batlik/france,RandomForest,1,2.3305184899436076,0.0799411458333334,0.10405142833994797
batlik/france,LinearRegression,2,4.010402214346313,0.1467629174074781,0.19233429273357752
batlik/france,RandomForest,2,2.268460880778812,0.0785769097222223,0.10169306052542512
batlik/france,LinearRegression,3,4.047736017058196,0.14753673262113892,0.192426090545762
batlik/france,RandomForest,3,2.465143747874164,0.08520138888888901,0.10990217003847856
batlik/france,LinearRegression,4,4.036675657579926,0.15168996514652772,0.20366225646078148
batlik/france,RandomForest,4,2.4521910470344923,0.08665989583333343,0.1134267261489157
batlik/france,LinearRegression,5,4.056728755112827,0.14713997899999795,0.19366000505000378
